targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,0,0,right,1,4,0,0,0,0,0,0,0,3,1.6599999980826396e-05,0.09709879999991244,22.92755120000038,None,1.4000000192027073e-05,0.09947920000013255,24.81319600000006,None,25.143502200000512,25.64791669999977,26.3658202000006,None,25.664332299999842,26.348740600000383,26.866085300000123,None,right,1,0.3337214999992284,26.866085300000123,None,None,25.664332299999842,26.849491599999965,0.513633800000207,0.5968065000006391,1.715191300000697,1.7983861000002435,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,0,1,1,5,,,,,,,,,27.216914800000268,27.717358599999898,28.43482970000059,None,27.73384940000051,28.418223700000453,28.93579890000001,None,right,1,0.2720622999995612,28.93579890000001,None,None,27.73384940000051,28.91888139999992,0.5114113999998153,0.5950013000001491,1.7129229000001942,1.796252999999524,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,0,2,2,7,,,,,,,,,29.23702680000042,29.73686120000002,30.45416209999985,None,29.753377699999874,30.437809400000333,30.955231699999786,None,right,1,0.29250320000028296,30.955231699999786,None,None,29.753377699999874,30.938283200000114,0.5115374999995765,0.5947458000000552,1.712945199999922,1.7964752999996563,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,0,3,3,0,,,,,,,,,31.27288790000057,31.772775500000535,32.490493199999946,None,31.78972109999995,32.47374420000051,32.99119320000045,None,left,1,0.25674999999955617,32.99119320000045,None,None,31.78972109999995,32.974485700000514,0.5116054999998596,0.5950681999993321,1.713295300000027,1.7967854999997144,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,180,0,left,2,3,0,0,0,0,0,4,4,4,,,,,,,,,33.27588910000031,33.77560110000013,34.4930832,None,33.792062100000294,34.476530200000525,34.993788400000085,None,left,1,0.2699551999994583,34.993788400000085,None,None,33.792062100000294,34.97739780000029,0.5120520999998917,0.5955677000001742,1.7138337000005777,1.797068699999727,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,0,5,5,6,,,,,,,,,35.29476440000053,35.79507360000025,36.51266300000043,None,35.811678300000494,36.49601970000003,37.01328209999974,None,right,1,0.2745012000004863,37.01328209999974,None,None,35.811678300000494,36.99669200000062,0.511782100000346,0.5953705000001719,1.713375399999677,1.796889999999621,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,0,6,6,2,,,,,,,,,37.31442169999991,37.81450170000062,38.53183590000026,None,37.83122249999997,38.515428700000484,39.03261999999995,None,left,1,0.31095619999996416,39.03261999999995,None,None,37.83122249999997,39.01632250000057,0.5116874999994252,0.5952110999996876,1.713486699999521,1.7968634999997448,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,0,7,7,1,,,,,,,,,39.367163200000505,39.86723200000051,40.58484320000025,None,39.884022500000356,40.56829010000001,41.08569030000035,None,left,1,0.28213830000004236,41.08569030000035,None,None,39.884022500000356,41.06897300000037,0.5118440999995073,0.5951633999993646,1.713571399999637,1.796955999999227,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,1,0,8,2,,,,,,,,,41.38705639999989,41.88691430000017,42.60427080000045,None,41.9033387999998,42.587749299999814,43.104983500000344,None,left,1,0.295129299999644,43.104983500000344,None,None,41.9033387999998,43.08836799999972,0.511694400000124,0.5948799999996481,1.7131317999992461,1.7965015999998286,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,1,1,9,6,,,,,,,,,43.42257800000061,43.922892700000375,44.640571900000396,None,43.93961769999987,44.6236641000005,45.141250200000286,None,right,1,0.36235109999961423,45.141250200000286,None,None,43.93961769999987,45.12442900000042,0.5118443999999727,0.5952790999999706,1.713360499999908,1.7969264000003022,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
