targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.rt,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,2,4,0,0,0,0,0,0,0,5,1.720000000204891e-05,0.1020581000002494,16.396130899999662,None,1.4700000065204222e-05,0.09957170000052429,18.281875300000138,None,18.62281019999955,19.132989899999302,19.834016599999813,None,19.132989899999302,19.834016599999813,20.33473749999939,None,right,1,0.45847800000046846,20.33473749999939,None,right,0.4602223000001686,19.132989899999302,20.31798929999968,0.5029171999995015,0.6031950999995388,1.7044573000002856,1.7880086999994091,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,180,0,left,2,3,0,0,0,0,0,1,1,4,,,,,,,,,20.82059389999995,21.31959310000002,22.03711149999981,None,21.33603359999961,22.020419200000106,22.537981200000104,20.82059389999995,left,1,0.2713006000003588,22.537981200000104,None,None,,21.33603359999961,22.52107739999974,0.5107892999994874,0.5940282999999908,1.71225719999984,1.7955874999997832,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,0,2,2,2,,,,,,,,,22.838958399999683,23.339003999999477,24.056590000000142,None,23.355592400000205,24.0397253000001,24.557214899999963,None,left,1,0.3159713999993983,24.557214899999963,None,None,,23.355592400000205,24.54061559999991,0.5118032000000312,0.595078299999841,1.7133977000003142,1.7967435000000478,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,0,3,3,1,,,,,,,,,24.891908099999455,25.391586699999607,26.109667499999887,None,25.408639599999333,26.092566799999986,26.610190899999907,None,left,1,0.2951096000006146,26.610190899999907,None,None,,25.408639599999333,26.593296299999565,0.5112748000001375,0.5948243000002549,1.7129604000001564,1.7964148000000932,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,0,4,4,0,,,,,,,,,26.92819950000012,27.428020899999865,28.1455390000001,None,27.444627500000024,28.12889399999949,28.646321100000023,None,left,1,0.33918529999937164,28.646321100000023,None,None,,27.444627500000024,28.629665499999646,0.5115919999998368,0.594720099999904,1.7132208999992145,1.7965753999997105,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,0,5,5,6,,,,,,,,,29.014363399999638,29.513995899999827,30.23176759999933,None,29.530801999999312,30.21510659999967,30.732332999999926,None,right,1,0.27676030000020546,30.732332999999926,None,None,,29.530801999999312,30.71579649999967,0.5115479999994932,0.5949429000002056,1.7133310999997775,1.796804599999632,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,0,0,right,1,4,0,0,0,0,0,6,6,3,,,,,,,,,31.03374050000002,31.533466199999566,32.25103940000008,None,31.550256399999853,32.234444699999585,32.75190839999959,None,right,1,0.36919900000066264,32.75190839999959,None,None,,31.550256399999853,32.73520869999993,0.5117936999995436,0.5953742000001512,1.7135098999997354,1.7969616999998834,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,0,7,7,7,,,,,,,,,33.153545699999995,33.65347279999969,34.370718600000146,None,33.66972100000021,34.35399989999951,34.87135859999944,None,right,1,0.3457295999996859,34.87135859999944,None,None,,33.66972100000021,34.85472949999985,0.5120507999999973,0.5952513000002,1.7133193999998184,1.7966800000003786,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,180,0,left,2,3,0,0,0,0,1,0,8,4,,,,,,,,,35.23942519999946,35.7392662000002,36.45703749999939,None,35.756235599999854,36.440258799999356,36.95766529999946,None,left,1,0.3556263999998919,36.95766529999946,None,None,,35.756235599999854,36.940927999999985,0.5118050999999468,0.5952769999994416,1.7134430999994947,1.7968151999994006,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,1,1,9,1,,,,,,,,,37.34179369999947,37.84213910000017,38.56001829999968,None,37.85896820000016,38.543153799999345,39.06040059999941,None,left,1,0.3569195000000036,39.06040059999941,None,None,,37.85896820000016,39.043828799999574,0.5122027999996135,0.5955606999996235,1.7138756999993348,1.7973621000001003,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,1,2,10,2,,,,,,,,,39.44516599999952,39.94504169999982,40.66274229999999,None,39.96177499999976,40.64618799999971,41.163476400000036,None,left,1,0.3657868000000235,41.163476400000036,None,None,,39.96177499999976,41.146705199999815,0.5116390000002866,0.5951806000002762,1.7132948000007673,1.7966802000000826,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
